"code","cardNumber","name","rarity","visualPrompt","description","imageUrl","isActive"
"HH2026-011","11","Cherry Wine","silver","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Silver rarity feeling. Elegant, refined, poised, polished vintage charm. The character elegantly holds a large wine glass filled with sparkling cherry juice. Clean bright minimal background with refined vintage atmosphere and very light decorative context. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Un croisement complexe offrant des aromes profonds de cerises mures, de fromage et de poivre noir.","","True"
"HH2026-012","12","Ringo's Gift","silver","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Silver rarity feeling. Elegant, refined, poised, polished vintage charm. The character happily presents a beautiful wrapped gift box tied with a ribbon. Clean bright minimal background with refined vintage atmosphere and very light decorative context. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Nommee en l'honneur du pionnier cannabique Lawrence Ringo, elle se distingue par un parfum rafraichissant de menthe et de terre.","","True"
"HH2026-013","13","Remedy","silver","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Silver rarity feeling. Elegant, refined, poised, polished vintage charm. The character wears a vintage nurse headband and gently holds an oversized old-fashioned thermometer. Clean bright minimal background with refined vintage atmosphere and very light decorative context. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Dominante indica parfaite pour une utilisation en soiree, caracterisee par de doux aromes de citron et de resine de pin.","","True"
"HH2026-014","14","Sour Tsunami","silver","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Silver rarity feeling. Elegant, refined, poised, polished vintage charm. The character skillfully surfs on a large stylized wave using a simple wooden board. Clean bright minimal background with refined vintage atmosphere and very light decorative context. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","L'une des toutes premieres varietes stabilisees pour un haut taux de CBD, au gout prononce de diesel et d'agrumes.","","True"
"HH2026-015","15","Harle-Tsu","silver","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Silver rarity feeling. Elegant, refined, poised, polished vintage charm. The character wears a slim martial arts headband and stands in a poised fighting stance. Clean bright minimal background with refined vintage atmosphere and very light decorative context. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Croisement prime alliant merveilleusement la douceur de Harlequin au mordant de Sour Tsunami.","","True"
"HH2026-016","16","Stephen Hawking Kush","silver","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Silver rarity feeling. Elegant, refined, poised, polished vintage charm. The character wears small round glasses, holds a piece of chalk, and points toward a vintage blackboard. Clean bright minimal background with refined vintage atmosphere and very light decorative context. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Variete sedative a dominance indica, offrant des aromes vibrants de fruits rouges, de cerise et de menthe.","","True"
"HH2026-017","17","Pennywise","silver","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Silver rarity feeling. Elegant, refined, poised, polished vintage charm. The character wears a small round clown nose and holds a balloon by its string. Clean bright minimal background with refined vintage atmosphere and very light decorative context. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Croisement entre Harlequin et Jack the Ripper, cette souche surprend par ses aromes torrefies de cafe et de poivre.","","True"
"HH2026-018","18","Sweet and Sour Widow","silver","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Silver rarity feeling. Elegant, refined, poised, polished vintage charm. The character wears an elegant black lace widow veil with a mysterious vintage attitude. Clean bright minimal background with refined vintage atmosphere and very light decorative context. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Profil terpenique unique et robuste, degageant des notes etonnantes d'oignon frais et de terre humide.","","True"
"HH2026-019","19","Special Sauce","silver","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Silver rarity feeling. Elegant, refined, poised, polished vintage charm. The character proudly holds a ladle dripping with a mysterious glossy sauce. Clean bright minimal background with refined vintage atmosphere and very light decorative context. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Creee en Oregon, celebre pour ses bourgeons resineux et son profil riche en myrcene et farnesene.","","True"
"HH2026-020","20","Strawberry CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character carries a small wicker basket overflowing with wild strawberries. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Souche tres gourmande dont le bouquet aromatique evoque immanquablement la confiture de fraise et les sous-bois.","","True"
"HH2026-021","21","Amnesia Haze CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character gently swings a pocket watch from side to side as if playfully hypnotizing someone. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Version repensee (sans THC) de la legendaire sativa hollandaise, conservant ses intenses effluves citronnees.","","True"
"HH2026-022","22","White Widow CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character is covered with cartoon snowflakes and shivers inside a large cozy scarf. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Une icone celebre pour sa dense couverture de trichomes blancs et son gout boise et epice.","","True"
"HH2026-023","23","Skywalker OG CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character proudly raises a glowing sci-fi laser sword in a playful heroic pose. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Variete aux notes prononcees de pin, de terre et de carburant, procurant une detente intergalactique profonde.","","True"
"HH2026-024","24","Bubba Kush CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character wears a small golden crown and a grand ermine royal cape, standing proudly like a tiny cartoon king. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Souche royale indica particulierement reputee pour ses saveurs sombres et profondes de cafe torrefie.","","True"
"HH2026-025","25","OG Kush CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character wears a thick gold chain and carries a vintage boombox on one shoulder with a cool relaxed attitude. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","La legende de la cote ouest americaine, croisee pour offrir un pur profil chanvrier citronne et boise.","","True"
"HH2026-026","26","Gelato CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character happily eats a huge three-scoop ice cream cone that is slowly melting. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Le dessert botanique par excellence, melant des saveurs cremeuses, sucrees et des nuances de fruits des bois.","","True"
"HH2026-027","27","Gorilla Glue CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character has both gloved hands stuck together with thick stretchy glue and pulls hard to separate them. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Connue pour la production d'une resine extremement collante qui embaume le pin citronne.","","True"
"HH2026-028","28","Blue Dream CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character wears a long sleepy nightcap and lovingly hugs a small fluffy cloud. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Sativa californienne douce et onirique, exhalant de merveilleux aromes de myrtille fraichement cueillie.","","True"
"HH2026-029","29","Pineapple Express CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character rides a pineapple fitted with small train wheels, sitting on it proudly like a silly tropical vehicle. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Un voyage tropical immediat grace a ses terpenes dominants fruites, melant l'ananas sucre au cedre.","","True"
"HH2026-030","30","Lemon Haze CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character squeezes a giant lemon with both hands, with eyes comically squinting from the sour intensity. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Explosion d'agrumes vifs, cette souche est plebiscitee en journee pour sa fraicheur et sa vivacite.","","True"
"HH2026-031","31","Critical Mass CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character wears a yellow construction helmet and innocently holds a large fake stick of dynamite in a playful cartoon way. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Connue pour ses rendements massifs et lourds, exhalant un riche parfum de terre humide.","","True"
"HH2026-032","32","Super Lemon Haze CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character wears a flowing superhero cape marked with a lemon wedge symbol and strikes a playful heroic pose. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Une variante survitaminee en limonene, offrant un gout tres prononce de citronnade acidulee.","","True"
"HH2026-033","33","Skunk CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character wears a vintage gas mask hanging around the neck and has a cartoon skunk tail. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Une genetique resolument old-school dont le parfum acre, terreux et piquant reste reconnaissable.","","True"
"HH2026-034","34","Afghan CBD","common","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Common rarity feeling. Simple, charming, approachable, readable everyday cartoon energy. The character calmly sits cross-legged while levitating above a beautiful flying carpet. Clean bright minimal background with a subtle vintage setting matching the prop, never cluttered. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Heritage botanique pur des montagnes de l'Hindu Kush, offrant des notes resineuses et d'encens lourd.","","True"
